id_pacote,id_carrinho,id_bancada,id_op_pack,dt_inicio_pack,dt_fim_pack,tempo_ciclo_carrinho_min
PKT-0000001,CAR-00001,L02-B03,OP-PCK-09,2026-08-01 06:16:23.231833,2026-08-01 06:16:59.132790,20.94
PKT-0000002,CAR-00001,L01-B04,OP-PCK-10,2026-08-01 06:16:23.231833,2026-08-01 06:17:35.033747,20.94
PKT-0000003,CAR-00001,L01-B02,OP-PCK-16,2026-08-01 06:16:23.231833,2026-08-01 06:18:10.934704,20.94
PKT-0000004,CAR-00001,L02-B01,OP-PCK-22,2026-08-01 06:16:23.231833,2026-08-01 06:18:46.835661,20.94
PKT-0000005,CAR-00001,L01-B12,OP-PCK-10,2026-08-01 06:16:23.231833,2026-08-01 06:19:22.736618,20.94
PKT-0000006,CAR-00001,L01-B14,OP-PCK-08,2026-08-01 06:16:23.231833,2026-08-01 06:19:58.637575,20.94
PKT-0000007,CAR-00001,L01-B06,OP-PCK-18,2026-08-01 06:16:23.231833,2026-08-01 06:20:34.538532,20.94
PKT-0000008,CAR-00001,L02-B12,OP-PCK-09,2026-08-01 06:16:23.231833,2026-08-01 06:21:10.439489,20.94
PKT-0000009,CAR-00001,L01-B06,OP-PCK-21,2026-08-01 06:16:23.231833,2026-08-01 06:21:46.340446,20.94
PKT-0000010,CAR-00001,L02-B12,OP-PCK-04,2026-08-01 06:16:23.231833,2026-08-01 06:22:22.241403,20.94
PKT-0000011,CAR-00001,L02-B02,OP-PCK-08,2026-08-01 06:16:23.231833,2026-08-01 06:22:58.142361,20.94
PKT-0000012,CAR-00001,L02-B07,OP-PCK-11,2026-08-01 06:16:23.231833,2026-08-01 06:23:34.043318,20.94
PKT-0000013,CAR-00001,L02-B06,OP-PCK-14,2026-08-01 06:16:23.231833,2026-08-01 06:24:09.944275,20.94
PKT-0000014,CAR-00001,L02-B07,OP-PCK-15,2026-08-01 06:16:23.231833,2026-08-01 06:24:45.845232,20.94
PKT-0000015,CAR-00001,L01-B05,OP-PCK-18,2026-08-01 06:16:23.231833,2026-08-01 06:25:21.746189,20.94
PKT-0000016,CAR-00001,L02-B06,OP-PCK-23,2026-08-01 06:16:23.231833,2026-08-01 06:25:57.647146,20.94
PKT-0000017,CAR-00001,L02-B14,OP-PCK-23,2026-08-01 06:16:23.231833,2026-08-01 06:26:33.548103,20.94
PKT-0000018,CAR-00001,L01-B07,OP-PCK-15,2026-08-01 06:16:23.231833,2026-08-01 06:27:09.449060,20.94
PKT-0000019,CAR-00001,L01-B08,OP-PCK-16,2026-08-01 06:16:23.231833,2026-08-01 06:27:45.350017,20.94
PKT-0000020,CAR-00001,L02-B08,OP-PCK-07,2026-08-01 06:16:23.231833,2026-08-01 06:28:21.250974,20.94
PKT-0000021,CAR-00001,L02-B02,OP-PCK-22,2026-08-01 06:16:23.231833,2026-08-01 06:28:57.151931,20.94
PKT-0000022,CAR-00001,L01-B12,OP-PCK-15,2026-08-01 06:16:23.231833,2026-08-01 06:29:33.052888,20.94
PKT-0000023,CAR-00001,L01-B09,OP-PCK-02,2026-08-01 06:16:23.231833,2026-08-01 06:30:08.953845,20.94
PKT-0000024,CAR-00001,L01-B11,OP-PCK-05,2026-08-01 06:16:23.231833,2026-08-01 06:30:44.854802,20.94
PKT-0000025,CAR-00001,L01-B06,OP-PCK-19,2026-08-01 06:16:23.231833,2026-08-01 06:31:20.755759,20.94
PKT-0000026,CAR-00001,L02-B08,OP-PCK-07,2026-08-01 06:16:23.231833,2026-08-01 06:31:56.656716,20.94
PKT-0000027,CAR-00001,L02-B12,OP-PCK-23,2026-08-01 06:16:23.231833,2026-08-01 06:32:32.557673,20.94
PKT-0000028,CAR-00001,L01-B01,OP-PCK-13,2026-08-01 06:16:23.231833,2026-08-01 06:33:08.458630,20.94
PKT-0000029,CAR-00001,L01-B06,OP-PCK-13,2026-08-01 06:16:23.231833,2026-08-01 06:33:44.359587,20.94
PKT-0000030,CAR-00001,L02-B03,OP-PCK-01,2026-08-01 06:16:23.231833,2026-08-01 06:34:20.260544,20.94
PKT-0000031,CAR-00001,L01-B10,OP-PCK-13,2026-08-01 06:16:23.231833,2026-08-01 06:34:56.161501,20.94
PKT-0000032,CAR-00001,L01-B09,OP-PCK-13,2026-08-01 06:16:23.231833,2026-08-01 06:35:32.062459,20.94
PKT-0000033,CAR-00001,L02-B05,OP-PCK-19,2026-08-01 06:16:23.231833,2026-08-01 06:36:07.963416,20.94
PKT-0000034,CAR-00001,L01-B08,OP-PCK-18,2026-08-01 06:16:23.231833,2026-08-01 06:36:43.864373,20.94
PKT-0000035,CAR-00001,L01-B06,OP-PCK-10,2026-08-01 06:16:23.231833,2026-08-01 06:37:19.765330,20.94
PKT-0000036,CAR-00002,L01-B05,OP-PCK-20,2026-08-01 06:22:36.979158,2026-08-01 06:23:01.242736,14.15
PKT-0000037,CAR-00002,L02-B09,OP-PCK-23,2026-08-01 06:22:36.979158,2026-08-01 06:23:25.506314,14.15
PKT-0000038,CAR-00002,L02-B04,OP-PCK-02,2026-08-01 06:22:36.979158,2026-08-01 06:23:49.769892,14.15
PKT-0000039,CAR-00002,L02-B06,OP-PCK-03,2026-08-01 06:22:36.979158,2026-08-01 06:24:14.033471,14.15
PKT-0000040,CAR-00002,L01-B10,OP-PCK-23,2026-08-01 06:22:36.979158,2026-08-01 06:24:38.297049,14.15
PKT-0000041,CAR-00002,L02-B02,OP-PCK-24,2026-08-01 06:22:36.979158,2026-08-01 06:25:02.560627,14.15
PKT-0000042,CAR-00002,L01-B13,OP-PCK-01,2026-08-01 06:22:36.979158,2026-08-01 06:25:26.824205,14.15
PKT-0000043,CAR-00002,L02-B05,OP-PCK-13,2026-08-01 06:22:36.979158,2026-08-01 06:25:51.087783,14.15
PKT-0000044,CAR-00002,L02-B07,OP-PCK-18,2026-08-01 06:22:36.979158,2026-08-01 06:26:15.351361,14.15
PKT-0000045,CAR-00002,L01-B12,OP-PCK-07,2026-08-01 06:22:36.979158,2026-08-01 06:26:39.614939,14.15
PKT-0000046,CAR-00002,L01-B03,OP-PCK-16,2026-08-01 06:22:36.979158,2026-08-01 06:27:03.878518,14.15
PKT-0000047,CAR-00002,L01-B11,OP-PCK-16,2026-08-01 06:22:36.979158,2026-08-01 06:27:28.142096,14.15
PKT-0000048,CAR-00002,L02-B14,OP-PCK-12,2026-08-01 06:22:36.979158,2026-08-01 06:27:52.405674,14.15
PKT-0000049,CAR-00002,L01-B11,OP-PCK-08,2026-08-01 06:22:36.979158,2026-08-01 06:28:16.669252,14.15
PKT-0000050,CAR-00002,L01-B12,OP-PCK-15,2026-08-01 06:22:36.979158,2026-08-01 06:28:40.932830,14.15
PKT-0000051,CAR-00002,L02-B13,OP-PCK-17,2026-08-01 06:22:36.979158,2026-08-01 06:29:05.196408,14.15
PKT-0000052,CAR-00002,L01-B13,OP-PCK-01,2026-08-01 06:22:36.979158,2026-08-01 06:29:29.459986,14.15
PKT-0000053,CAR-00002,L02-B13,OP-PCK-11,2026-08-01 06:22:36.979158,2026-08-01 06:29:53.723564,14.15
