id_carrinho,id_op_rebin,linha_rebin,dt_inicio_montagem,tempo_montagem_min,dt_fim_montagem
CAR-00001,OP-REB-06,L01,2026-08-01 06:02:06,11.6,2026-08-01 06:13:42.000
CAR-00002,OP-REB-07,L01,2026-08-01 06:06:44,9.67,2026-08-01 06:16:24.200
CAR-00003,OP-REB-04,L01,2026-08-01 06:50:51,10.53,2026-08-01 07:01:22.800
CAR-00004,OP-REB-08,L01,2026-08-01 06:54:27,12.41,2026-08-01 07:06:51.600
CAR-00005,OP-REB-09,L01,2026-08-01 07:28:07,12.38,2026-08-01 07:40:29.800
CAR-00006,OP-REB-01,L02,2026-08-01 07:31:26,12.48,2026-08-01 07:43:54.800
CAR-00007,OP-REB-07,L02,2026-08-01 07:55:49,13.04,2026-08-01 08:08:51.400
CAR-00008,OP-REB-09,L02,2026-08-01 08:12:47,12.01,2026-08-01 08:24:47.600
CAR-00009,OP-REB-05,L02,2026-08-01 08:37:15,12.53,2026-08-01 08:49:46.800
CAR-00010,OP-REB-02,L01,2026-08-01 08:58:19,11.91,2026-08-01 09:10:13.600
CAR-00011,OP-REB-06,L02,2026-08-01 09:08:23,14.3,2026-08-01 09:22:41.000
CAR-00012,OP-REB-07,L01,2026-08-01 09:21:55,14.86,2026-08-01 09:36:46.600
CAR-00013,OP-REB-02,L02,2026-08-01 11:01:13,9.62,2026-08-01 11:10:50.200
CAR-00014,OP-REB-02,L02,2026-08-01 11:27:55,11.49,2026-08-01 11:39:24.400
CAR-00015,OP-REB-01,L02,2026-08-01 11:30:16,12.07,2026-08-01 11:42:20.200
CAR-00016,OP-REB-04,L01,2026-08-01 11:32:55,11.47,2026-08-01 11:44:23.200
CAR-00017,OP-REB-07,L02,2026-08-01 11:54:13,15.59,2026-08-01 12:09:48.400
CAR-00018,OP-REB-09,L01,2026-08-01 12:05:59,12.45,2026-08-01 12:18:26.000
CAR-00019,OP-REB-03,L01,2026-08-01 12:13:51,10.39,2026-08-01 12:24:14.400
CAR-00020,OP-REB-07,L02,2026-08-01 12:27:27,13.19,2026-08-01 12:40:38.400
CAR-00021,OP-REB-07,L01,2026-08-01 12:27:55,12.54,2026-08-01 12:40:27.400
CAR-00022,OP-REB-07,L01,2026-08-01 12:30:29,12.61,2026-08-01 12:43:05.600
CAR-00023,OP-REB-02,L02,2026-08-01 13:15:55,15.62,2026-08-01 13:31:32.200
CAR-00024,OP-REB-06,L02,2026-08-01 13:25:34,12.7,2026-08-01 13:38:16.000
CAR-00025,OP-REB-02,L02,2026-08-01 13:26:30,11.39,2026-08-01 13:37:53.400
CAR-00026,OP-REB-06,L02,2026-08-01 13:26:46,8.09,2026-08-01 13:34:51.400
CAR-00027,OP-REB-03,L02,2026-08-01 13:41:52,11.67,2026-08-01 13:53:32.200
CAR-00028,OP-REB-02,L02,2026-08-01 13:57:05,14.61,2026-08-01 14:11:41.600
CAR-00029,OP-REB-06,L01,2026-08-01 14:15:25,11.82,2026-08-01 14:27:14.200
CAR-00030,OP-REB-02,L02,2026-08-01 14:46:25,7.52,2026-08-01 14:53:56.200
CAR-00031,OP-REB-05,L02,2026-08-01 15:15:20,11.0,2026-08-01 15:26:20.000
CAR-00032,OP-REB-02,L01,2026-08-01 15:38:21,13.99,2026-08-01 15:52:20.400
CAR-00033,OP-REB-03,L02,2026-08-01 15:38:27,13.09,2026-08-01 15:51:32.400
CAR-00034,OP-REB-03,L01,2026-08-01 15:41:51,10.32,2026-08-01 15:52:10.200
CAR-00035,OP-REB-06,L02,2026-08-01 15:59:14,10.87,2026-08-01 16:10:06.200
CAR-00036,OP-REB-06,L02,2026-08-01 16:00:35,11.18,2026-08-01 16:11:45.800
CAR-00037,OP-REB-03,L01,2026-08-01 16:05:21,10.67,2026-08-01 16:16:01.200
CAR-00038,OP-REB-03,L02,2026-08-01 16:35:02,7.94,2026-08-01 16:42:58.400
CAR-00039,OP-REB-01,L01,2026-08-01 16:54:39,13.53,2026-08-01 17:08:10.800
CAR-00040,OP-REB-07,L02,2026-08-01 16:55:53,14.51,2026-08-01 17:10:23.600
CAR-00041,OP-REB-08,L02,2026-08-01 17:18:58,8.96,2026-08-01 17:27:55.600
CAR-00042,OP-REB-02,L01,2026-08-01 18:06:25,14.49,2026-08-01 18:20:54.400
