id_pacote,id_op_balanca,dt_pesagem,status_balanca
PKT-0000001,OP-BAL-01,2026-08-01 06:17:20.063356,Aprovado
PKT-0000002,OP-BAL-01,2026-08-01 06:18:09.175015,Aprovado
PKT-0000003,OP-BAL-03,2026-08-01 06:19:12.938803,Aprovado
PKT-0000004,OP-BAL-01,2026-08-01 06:19:53.334520,Aprovado
PKT-0000005,OP-BAL-01,2026-08-01 06:19:46.829025,Aprovado
PKT-0000006,OP-BAL-01,2026-08-01 06:21:06.838123,Aprovado
PKT-0000007,OP-BAL-03,2026-08-01 06:22:01.190535,Aprovado
PKT-0000008,OP-BAL-03,2026-08-01 06:22:29.416250,Aprovado
PKT-0000009,OP-BAL-01,2026-08-01 06:22:15.254439,Aprovado
PKT-0000010,OP-BAL-01,2026-08-01 06:22:41.443678,Aprovado
PKT-0000011,OP-BAL-01,2026-08-01 06:23:50.681620,Aprovado
PKT-0000012,OP-BAL-01,2026-08-01 06:23:49.307113,Aprovado
PKT-0000013,OP-BAL-03,2026-08-01 06:25:21.366144,Aprovado
PKT-0000014,OP-BAL-01,2026-08-01 06:25:51.310469,Aprovado
PKT-0000015,OP-BAL-03,2026-08-01 06:26:33.201579,Aprovado
PKT-0000016,OP-BAL-01,2026-08-01 06:27:03.343530,Aprovado
PKT-0000017,OP-BAL-01,2026-08-01 06:28:01.369405,Aprovado
PKT-0000018,OP-BAL-02,2026-08-01 06:27:41.558180,Aprovado
PKT-0000019,OP-BAL-02,2026-08-01 06:28:16.045423,Rejeitado
PKT-0000020,OP-BAL-02,2026-08-01 06:29:49.450442,Aprovado
PKT-0000021,OP-BAL-03,2026-08-01 06:29:45.064878,Aprovado
PKT-0000022,OP-BAL-01,2026-08-01 06:30:53.854365,Aprovado
PKT-0000023,OP-BAL-03,2026-08-01 06:31:24.979100,Aprovado
PKT-0000024,OP-BAL-02,2026-08-01 06:31:00.053636,Aprovado
PKT-0000025,OP-BAL-02,2026-08-01 06:32:05.350382,Aprovado
PKT-0000026,OP-BAL-03,2026-08-01 06:32:56.940775,Aprovado
PKT-0000027,OP-BAL-01,2026-08-01 06:32:42.856888,Aprovado
PKT-0000028,OP-BAL-02,2026-08-01 06:33:40.081609,Aprovado
PKT-0000029,OP-BAL-01,2026-08-01 06:34:31.106154,Aprovado
PKT-0000030,OP-BAL-02,2026-08-01 06:35:41.177360,Aprovado
PKT-0000031,OP-BAL-03,2026-08-01 06:35:17.639789,Aprovado
PKT-0000032,OP-BAL-02,2026-08-01 06:35:47.603599,Aprovado
PKT-0000033,OP-BAL-02,2026-08-01 06:36:45.840542,Aprovado
PKT-0000034,OP-BAL-02,2026-08-01 06:37:40.248417,Aprovado
PKT-0000035,OP-BAL-01,2026-08-01 06:38:45.027481,Aprovado
PKT-0000036,OP-BAL-02,2026-08-01 06:24:08.988007,Aprovado
PKT-0000037,OP-BAL-01,2026-08-01 06:24:48.982730,Aprovado
PKT-0000038,OP-BAL-01,2026-08-01 06:24:35.542436,Aprovado
PKT-0000039,OP-BAL-01,2026-08-01 06:24:27.994162,Aprovado
PKT-0000040,OP-BAL-01,2026-08-01 06:25:03.839657,Aprovado
PKT-0000041,OP-BAL-03,2026-08-01 06:25:50.571670,Aprovado
PKT-0000042,OP-BAL-02,2026-08-01 06:25:52.136868,Aprovado
PKT-0000043,OP-BAL-02,2026-08-01 06:27:10.148660,Aprovado
PKT-0000044,OP-BAL-03,2026-08-01 06:27:10.232024,Aprovado
PKT-0000045,OP-BAL-01,2026-08-01 06:27:41.471118,Aprovado
PKT-0000046,OP-BAL-02,2026-08-01 06:27:41.570749,Aprovado
PKT-0000047,OP-BAL-02,2026-08-01 06:28:24.832029,Aprovado
PKT-0000048,OP-BAL-01,2026-08-01 06:28:16.504027,Aprovado
PKT-0000049,OP-BAL-02,2026-08-01 06:28:45.489182,Rejeitado
PKT-0000050,OP-BAL-03,2026-08-01 06:29:21.917622,Aprovado
PKT-0000051,OP-BAL-02,2026-08-01 06:29:55.223128,Aprovado
PKT-0000052,OP-BAL-01,2026-08-01 06:30:09.176321,Aprovado
PKT-0000053,OP-BAL-02,2026-08-01 06:30:47.944119,Aprovado
PKT-0000054,OP-BAL-03,2026-08-01 06:30:45.229260,Aprovado
PKT-0000055,OP-BAL-01,2026-08-01 06:31:39.505397,Aprovado
PKT-0000056,OP-BAL-01,2026-08-01 06:32:10.251873,Aprovado
PKT-0000057,OP-BAL-03,2026-08-01 06:32:41.202791,Aprovado
PKT-0000058,OP-BAL-01,2026-08-01 06:33:20.168956,Aprovado
PKT-0000059,OP-BAL-02,2026-08-01 06:32:44.948558,Aprovado
PKT-0000060,OP-BAL-01,2026-08-01 06:33:46.248566,Aprovado
PKT-0000061,OP-BAL-01,2026-08-01 06:34:27.517483,Aprovado
PKT-0000062,OP-BAL-01,2026-08-01 06:34:06.075915,Aprovado
PKT-0000063,OP-BAL-03,2026-08-01 06:34:46.703073,Aprovado
PKT-0000064,OP-BAL-01,2026-08-01 06:35:06.509718,Aprovado
PKT-0000065,OP-BAL-02,2026-08-01 06:35:17.498487,Aprovado
PKT-0000066,OP-BAL-03,2026-08-01 06:35:41.994945,Aprovado
PKT-0000067,OP-BAL-01,2026-08-01 06:36:18.040959,Aprovado
PKT-0000068,OP-BAL-01,2026-08-01 06:36:10.290954,Aprovado
PKT-0000069,OP-BAL-01,2026-08-01 06:37:03.098735,Aprovado
PKT-0000070,OP-BAL-02,2026-08-01 06:38:13.944305,Aprovado
PKT-0000071,OP-BAL-02,2026-08-01 07:08:13.005738,Aprovado
PKT-0000072,OP-BAL-01,2026-08-01 07:08:33.566974,Aprovado
PKT-0000073,OP-BAL-03,2026-08-01 07:10:02.108651,Aprovado
PKT-0000074,OP-BAL-01,2026-08-01 07:10:50.886051,Aprovado
PKT-0000075,OP-BAL-01,2026-08-01 07:11:05.571147,Aprovado
PKT-0000076,OP-BAL-03,2026-08-01 07:11:47.717355,Aprovado
PKT-0000077,OP-BAL-02,2026-08-01 07:12:00.131932,Aprovado
PKT-0000078,OP-BAL-02,2026-08-01 07:12:34.995241,Aprovado
PKT-0000079,OP-BAL-02,2026-08-01 07:12:43.783099,Aprovado
PKT-0000080,OP-BAL-02,2026-08-01 07:14:05.178681,Aprovado
PKT-0000081,OP-BAL-02,2026-08-01 07:13:54.852054,Aprovado
PKT-0000082,OP-BAL-01,2026-08-01 07:15:09.509330,Aprovado
PKT-0000083,OP-BAL-01,2026-08-01 07:15:59.491803,Aprovado
PKT-0000084,OP-BAL-02,2026-08-01 07:15:42.019188,Aprovado
PKT-0000085,OP-BAL-02,2026-08-01 07:17:20.946655,Aprovado
PKT-0000086,OP-BAL-03,2026-08-01 07:17:06.053749,Aprovado
PKT-0000087,OP-BAL-01,2026-08-01 07:17:22.401678,Aprovado
PKT-0000088,OP-BAL-03,2026-08-01 07:18:15.956897,Aprovado
PKT-0000089,OP-BAL-03,2026-08-01 07:18:22.865263,Aprovado
PKT-0000090,OP-BAL-03,2026-08-01 07:19:58.356370,Aprovado
PKT-0000091,OP-BAL-02,2026-08-01 07:19:37.300427,Aprovado
PKT-0000092,OP-BAL-02,2026-08-01 07:20:25.730952,Aprovado
PKT-0000093,OP-BAL-02,2026-08-01 07:21:08.364948,Rejeitado
PKT-0000094,OP-BAL-01,2026-08-01 07:22:02.023580,Aprovado
PKT-0000095,OP-BAL-03,2026-08-01 07:23:09.354852,Aprovado
PKT-0000096,OP-BAL-03,2026-08-01 07:23:16.677764,Aprovado
PKT-0000097,OP-BAL-01,2026-08-01 07:23:03.949061,Aprovado
PKT-0000098,OP-BAL-03,2026-08-01 07:24:44.630281,Aprovado
PKT-0000099,OP-BAL-02,2026-08-01 07:24:54.873203,Aprovado
PKT-0000100,OP-BAL-03,2026-08-01 07:25:36.427403,Aprovado
PKT-0000101,OP-BAL-02,2026-08-01 07:26:02.180568,Aprovado
PKT-0000102,OP-BAL-01,2026-08-01 07:25:53.571579,Aprovado
PKT-0000103,OP-BAL-01,2026-08-01 07:26:51.641110,Aprovado
PKT-0000104,OP-BAL-02,2026-08-01 07:28:19.165876,Aprovado
PKT-0000105,OP-BAL-02,2026-08-01 07:28:52.033553,Aprovado
PKT-0000106,OP-BAL-03,2026-08-01 07:11:54.524797,Aprovado
PKT-0000107,OP-BAL-02,2026-08-01 07:12:07.772850,Aprovado
PKT-0000108,OP-BAL-03,2026-08-01 07:12:59.579646,Aprovado
PKT-0000109,OP-BAL-03,2026-08-01 07:12:36.131403,Aprovado
PKT-0000110,OP-BAL-01,2026-08-01 07:13:17.231780,Aprovado
PKT-0000111,OP-BAL-02,2026-08-01 07:14:29.472739,Aprovado
PKT-0000112,OP-BAL-01,2026-08-01 07:14:26.972349,Aprovado
PKT-0000113,OP-BAL-03,2026-08-01 07:14:54.126619,Aprovado
PKT-0000114,OP-BAL-01,2026-08-01 07:14:51.374055,Aprovado
PKT-0000115,OP-BAL-01,2026-08-01 07:15:53.752541,Aprovado
PKT-0000116,OP-BAL-03,2026-08-01 07:16:19.060501,Aprovado
PKT-0000117,OP-BAL-03,2026-08-01 07:16:00.203923,Aprovado
PKT-0000118,OP-BAL-02,2026-08-01 07:16:22.748158,Aprovado
PKT-0000119,OP-BAL-03,2026-08-01 07:17:21.544182,Aprovado
PKT-0000120,OP-BAL-01,2026-08-01 07:17:26.097338,Aprovado
PKT-0000121,OP-BAL-03,2026-08-01 07:17:07.674559,Aprovado
PKT-0000122,OP-BAL-03,2026-08-01 07:18:16.590155,Rejeitado
PKT-0000123,OP-BAL-02,2026-08-01 07:18:17.783126,Aprovado
PKT-0000124,OP-BAL-03,2026-08-01 07:18:34.910990,Aprovado
PKT-0000125,OP-BAL-03,2026-08-01 07:19:28.622926,Aprovado
PKT-0000126,OP-BAL-03,2026-08-01 07:18:51.405395,Aprovado
PKT-0000127,OP-BAL-02,2026-08-01 07:19:57.741454,Aprovado
PKT-0000128,OP-BAL-01,2026-08-01 07:20:49.681156,Rejeitado
PKT-0000129,OP-BAL-01,2026-08-01 07:20:01.353795,Aprovado
PKT-0000130,OP-BAL-02,2026-08-01 07:21:02.012736,Aprovado
PKT-0000131,OP-BAL-02,2026-08-01 07:21:41.243982,Aprovado
PKT-0000132,OP-BAL-01,2026-08-01 07:21:19.513156,Aprovado
PKT-0000133,OP-BAL-01,2026-08-01 07:22:12.654837,Aprovado
PKT-0000134,OP-BAL-03,2026-08-01 07:22:20.723520,Aprovado
PKT-0000135,OP-BAL-02,2026-08-01 07:22:30.008061,Aprovado
PKT-0000136,OP-BAL-02,2026-08-01 07:23:09.868097,Aprovado
PKT-0000137,OP-BAL-02,2026-08-01 07:23:59.319743,Aprovado
PKT-0000138,OP-BAL-02,2026-08-01 07:24:06.388082,Aprovado
PKT-0000139,OP-BAL-03,2026-08-01 07:24:48.347056,Aprovado
PKT-0000140,OP-BAL-02,2026-08-01 07:24:14.845084,Aprovado
PKT-0000141,OP-BAL-01,2026-08-01 07:44:07.915848,Aprovado
PKT-0000142,OP-BAL-01,2026-08-01 07:45:02.656222,Aprovado
PKT-0000143,OP-BAL-01,2026-08-01 07:45:15.210840,Aprovado
PKT-0000144,OP-BAL-03,2026-08-01 07:45:56.221394,Aprovado
PKT-0000145,OP-BAL-03,2026-08-01 07:45:22.011728,Aprovado
PKT-0000146,OP-BAL-03,2026-08-01 07:45:44.846890,Aprovado
PKT-0000147,OP-BAL-01,2026-08-01 07:46:19.191688,Aprovado
PKT-0000148,OP-BAL-03,2026-08-01 07:46:52.397806,Aprovado
PKT-0000149,OP-BAL-03,2026-08-01 07:48:08.363574,Aprovado
PKT-0000150,OP-BAL-03,2026-08-01 07:48:34.575095,Aprovado
PKT-0000151,OP-BAL-03,2026-08-01 07:48:42.658466,Aprovado
PKT-0000152,OP-BAL-02,2026-08-01 07:49:39.723737,Aprovado
PKT-0000153,OP-BAL-01,2026-08-01 07:49:48.543547,Aprovado
PKT-0000154,OP-BAL-03,2026-08-01 07:50:15.228314,Aprovado
PKT-0000155,OP-BAL-01,2026-08-01 07:50:22.434503,Aprovado
PKT-0000156,OP-BAL-03,2026-08-01 07:51:27.870035,Aprovado
PKT-0000157,OP-BAL-01,2026-08-01 07:51:46.143806,Aprovado
PKT-0000158,OP-BAL-02,2026-08-01 07:52:05.181024,Aprovado
PKT-0000159,OP-BAL-01,2026-08-01 07:52:26.586663,Aprovado
PKT-0000160,OP-BAL-03,2026-08-01 07:53:19.653924,Aprovado
PKT-0000161,OP-BAL-03,2026-08-01 07:53:46.451754,Aprovado
PKT-0000162,OP-BAL-02,2026-08-01 07:54:26.365758,Aprovado
PKT-0000163,OP-BAL-03,2026-08-01 07:54:54.423253,Aprovado
PKT-0000164,OP-BAL-03,2026-08-01 07:54:30.366696,Aprovado
PKT-0000165,OP-BAL-02,2026-08-01 07:55:40.322624,Aprovado
PKT-0000166,OP-BAL-01,2026-08-01 07:56:06.489778,Aprovado
PKT-0000167,OP-BAL-03,2026-08-01 07:56:41.954748,Aprovado
PKT-0000168,OP-BAL-01,2026-08-01 07:56:27.784553,Aprovado
PKT-0000169,OP-BAL-02,2026-08-01 07:56:39.817984,Aprovado
PKT-0000170,OP-BAL-02,2026-08-01 07:57:47.216179,Rejeitado
PKT-0000171,OP-BAL-03,2026-08-01 07:58:46.442041,Aprovado
PKT-0000172,OP-BAL-02,2026-08-01 07:58:03.399785,Aprovado
PKT-0000173,OP-BAL-02,2026-08-01 07:58:39.322462,Aprovado
PKT-0000174,OP-BAL-01,2026-08-01 07:59:39.779273,Aprovado
PKT-0000175,OP-BAL-03,2026-08-01 07:59:32.774872,Aprovado
PKT-0000176,OP-BAL-02,2026-08-01 07:52:33.657545,Aprovado
PKT-0000177,OP-BAL-01,2026-08-01 07:53:54.174521,Aprovado
PKT-0000178,OP-BAL-03,2026-08-01 07:54:26.568840,Aprovado
PKT-0000179,OP-BAL-02,2026-08-01 07:53:48.009591,Aprovado
PKT-0000180,OP-BAL-03,2026-08-01 07:55:21.934586,Aprovado
PKT-0000181,OP-BAL-02,2026-08-01 07:55:41.364244,Aprovado
PKT-0000182,OP-BAL-02,2026-08-01 07:55:54.978767,Aprovado
PKT-0000183,OP-BAL-03,2026-08-01 07:55:27.711826,Aprovado
PKT-0000184,OP-BAL-03,2026-08-01 07:56:47.066320,Aprovado
PKT-0000185,OP-BAL-03,2026-08-01 07:57:08.303167,Aprovado
PKT-0000186,OP-BAL-02,2026-08-01 07:56:47.383037,Aprovado
PKT-0000187,OP-BAL-02,2026-08-01 07:57:16.334695,Aprovado
PKT-0000188,OP-BAL-01,2026-08-01 07:58:10.191296,Aprovado
PKT-0000189,OP-BAL-02,2026-08-01 07:58:39.907392,Aprovado
PKT-0000190,OP-BAL-03,2026-08-01 07:59:10.740353,Aprovado
PKT-0000191,OP-BAL-03,2026-08-01 07:59:37.165876,Aprovado
PKT-0000192,OP-BAL-03,2026-08-01 08:00:14.711837,Rejeitado
PKT-0000193,OP-BAL-01,2026-08-01 08:00:39.809185,Aprovado
PKT-0000194,OP-BAL-01,2026-08-01 08:01:01.324545,Aprovado
PKT-0000195,OP-BAL-03,2026-08-01 08:01:10.057990,Aprovado
PKT-0000196,OP-BAL-03,2026-08-01 08:01:29.118644,Aprovado
PKT-0000197,OP-BAL-01,2026-08-01 08:02:13.270137,Aprovado
PKT-0000198,OP-BAL-01,2026-08-01 08:02:40.846726,Aprovado
PKT-0000199,OP-BAL-03,2026-08-01 08:03:11.965410,Aprovado
PKT-0000200,OP-BAL-01,2026-08-01 08:02:58.897850,Aprovado
